name,description,imageUrl,imageAlt,ingredients
gin_tonic,Gin tonic classic,,gin,"[{""productId"":1,""amount"":2.0,""unit"":""oz""},{""productId"":47,""amount"":4.0,""unit"":""oz""},{""productId"":49,""amount"":0.25,""unit"":""unid""}]"
cuba_libre,Rum cola lime,,ron_blanco,"[{""productId"":2,""amount"":2.0,""unit"":""oz""},{""productId"":41,""amount"":4.0,""unit"":""oz""},{""productId"":49,""amount"":0.5,""unit"":""unid""}]"
margarita,Tequila triple sec lime,,tequila_blanco,"[{""productId"":4,""amount"":2.0,""unit"":""oz""},{""productId"":16,""amount"":1.0,""unit"":""oz""},{""productId"":49,""amount"":1.0,""unit"":""unid""}]"
daiquiri,Rum lime syrup,,ron_blanco,"[{""productId"":2,""amount"":2.0,""unit"":""oz""},{""productId"":36,""amount"":1.0,""unit"":""oz""},{""productId"":31,""amount"":0.75,""unit"":""oz""}]"
aperol_spritz,Aperol wine soda,,aperol,"[{""productId"":22,""amount"":2.0,""unit"":""oz""},{""productId"":60,""amount"":3.0,""unit"":""oz""},{""productId"":29,""amount"":1.0,""unit"":""oz""}]"
negroni,Gin vermouth campari,,gin,"[{""productId"":1,""amount"":1.0,""unit"":""oz""},{""productId"":8,""amount"":1.0,""unit"":""oz""},{""productId"":23,""amount"":1.0,""unit"":""oz""}]"
mojito,Rum lime syrup soda,,ron_blanco,"[{""productId"":2,""amount"":2.0,""unit"":""oz""},{""productId"":49,""amount"":1.0,""unit"":""unid""},{""productId"":36,""amount"":0.75,""unit"":""oz""},{""productId"":48,""amount"":2.0,""unit"":""oz""},{""productId"":54,""amount"":0.2,""unit"":""unid""}]"
sex_on_the_beach,Vodka orange cranberry peach,,vodka,"[{""productId"":59,""amount"":1.5,""unit"":""oz""},{""productId"":30,""amount"":2.0,""unit"":""oz""},{""productId"":33,""amount"":1.0,""unit"":""oz""},{""productId"":16,""amount"":0.5,""unit"":""oz""}]"
blue_lagoon,Vodka blue curacao lime sprite,,vodka,"[{""productId"":59,""amount"":1.5,""unit"":""oz""},{""productId"":17,""amount"":0.5,""unit"":""oz""},{""productId"":49,""amount"":1.0,""unit"":""unid""},{""productId"":43,""amount"":3.0,""unit"":""oz""}]"
tequila_sunrise,Tequila orange grenadine,,tequila_blanco,"[{""productId"":4,""amount"":2.0,""unit"":""oz""},{""productId"":30,""amount"":4.0,""unit"":""oz""},{""productId"":37,""amount"":0.5,""unit"":""oz""}]"
pina_colada,Rum coconut pineapple,,ron_blanco,"[{""productId"":2,""amount"":2.0,""unit"":""oz""},{""productId"":26,""amount"":1.0,""unit"":""oz""},{""productId"":32,""amount"":3.0,""unit"":""oz""}]"
fernet_cola,Fernet with cola,,fernet,"[{""productId"":24,""amount"":2.0,""unit"":""oz""},{""productId"":41,""amount"":6.0,""unit"":""oz""}]"
campari_orange,Campari with orange juice,,campari,"[{""productId"":23,""amount"":2.0,""unit"":""oz""},{""productId"":30,""amount"":6.0,""unit"":""oz""}]"
vodka_tonic,Vodka tonic with lime,,vodka,"[{""productId"":59,""amount"":2.0,""unit"":""oz""},{""productId"":47,""amount"":6.0,""unit"":""oz""},{""productId"":49,""amount"":0.5,""unit"":""unid""}]"
vodka_orange,Vodka with orange juice,,vodka,"[{""productId"":59,""amount"":2.0,""unit"":""oz""},{""productId"":30,""amount"":6.0,""unit"":""oz""}]"
caipiroska,Vodka lime sugar,,vodka,"[{""productId"":59,""amount"":2.0,""unit"":""oz""},{""productId"":49,""amount"":1.0,""unit"":""unid""},{""productId"":38,""amount"":10.0,""unit"":""gr""}]"
caipirina,Cachaca lime sugar,,cachaca,"[{""productId"":10,""amount"":2.0,""unit"":""oz""},{""productId"":49,""amount"":1.0,""unit"":""unid""},{""productId"":38,""amount"":10.0,""unit"":""gr""}]"
