name,categoryId,unit,unitSize,active,imageUrl,imageAlt
gin,1,ml,1000,true,,gin
ron_blanco,1,ml,1000,true,,ron_blanco
ron_dorado,1,ml,1000,true,,ron_dorado
tequila_blanco,1,ml,750,true,,tequila_blanco
tequila_reposado,1,ml,750,true,,tequila_reposado
whisky,1,ml,750,true,,whisky
bourbon,1,ml,750,true,,bourbon
vermut_rojo,1,ml,1000,true,,vermut_rojo
vermut_blanco,1,ml,1000,true,,vermut_blanco
cachaca,1,ml,1000,true,,cachaca
pisco,1,ml,750,true,,pisco
brandy,1,ml,750,true,,brandy
cerveza_rubia,1,ml,1000,true,,cerveza_rubia
vino_blanco,1,ml,750,true,,vino_blanco
vino_tinto,1,ml,750,true,,vino_tinto
triple_sec,1,ml,700,true,,triple_sec
curacao_azul,1,ml,700,true,,curacao_azul
licor_de_cafe,1,ml,700,true,,licor_de_cafe
licor_de_melon,1,ml,700,true,,licor_de_melon
amaretto,1,ml,700,true,,amaretto
baileys,1,ml,700,true,,baileys
aperol,1,ml,700,true,,aperol
campari,1,ml,700,true,,campari
fernet,1,ml,750,true,,fernet
jagermeister,1,ml,700,true,,jagermeister
licor_de_coco,1,ml,700,true,,licor_de_coco
licor_de_frambuesa,1,ml,700,true,,licor_de_frambuesa
agua,2,ml,2000,true,,agua
agua_con_gas,2,ml,2000,true,,agua_con_gas
jugo_de_naranja,2,ml,1000,true,,jugo_de_naranja
jugo_de_limon,2,ml,1000,true,,jugo_de_limon
jugo_de_anana,2,ml,1000,true,,jugo_de_anana
jugo_de_arandanos,2,ml,1000,true,,jugo_de_arandanos
jugo_de_pomelo,2,ml,1000,true,,jugo_de_pomelo
pure_de_maracuya,2,ml,1000,true,,pure_de_maracuya
jarabe_simple,2,ml,1000,true,,jarabe_simple
granadina,2,ml,1000,true,,granadina
azucar_blanca,2,gr,1000,true,,azucar_blanca
azucar_rubia,2,gr,1000,true,,azucar_rubia
sal,2,gr,1000,true,,sal
coca_cola,2,ml,2250,true,,coca_cola
coca_cola_zero,2,ml,2250,true,,coca_cola_zero
sprite,2,ml,2250,true,,sprite
seven_up,2,ml,2250,true,,seven_up
fanta_naranja,2,ml,2250,true,,fanta_naranja
ginger_ale,2,ml,1500,true,,ginger_ale
tonica,2,ml,1500,true,,tonica
soda,2,ml,1500,true,,soda
lima,3,unid,1,true,,lima
limon,3,unid,1,true,,limon
naranja,3,unid,1,true,,naranja
anana,3,unid,1,true,,anana
frutilla,3,unid,1,true,,frutilla
menta,3,unid,1,true,,menta
pepino,3,unid,1,true,,pepino
jengibre,3,unid,1,true,,jengibre
kiwi,3,unid,1,true,,kiwi
arandanos,3,unid,1,true,,arandanos
vodka,1,ml,750,true,,vodka
espumante_extre_brut,1,ml,750,true,,espumante_extre_brut
